nome,custo,codigo,estoque
SKU: 393 - Airpods Apple (PRO - Primeira Linha),84,,1
SKU: 163 - Airpods Apple Replica,66,,1
SKU: 517 - Airpods Apple Replica,100,,1
SKU: 597 - Airpods Apple Replica,55,,3
"SKU: 131 - AirTag (1 un.), IMEI1: 195949686634,",185,,1
"SKU: 127 - Apple Pencil 1 (2015, 1ª Geração) Lightning - Branco",620,,1
"SKU: 128 - Apple Pencil 2 (2018, 2ª Geração) - Branco",570,,1
SKU: 129 - Apple Pencil USB-C (2023),680,,1
SKU: 130 - Apple Pencil USB-C (2023),680,,1
"SKU: 180 - Apple Watch Series 4 (2018) 44mm (GPS) - Black (Alumínio), - Seminovo, Saúde da bateria: 77%",900,,1
SKU: 181 - Apple Watch Series 4 (2018) 44mm (GPS) - Gold (Alumínio),700,,1
"SKU: 170 - Apple Watch Series 5 (2019) 44mm (GPS) - Silver (Alumínio), - Seminovo, Saúde da bateria: 79%",950,,1
"SKU: 171 - Apple Watch Series 5 (2019) 44mm (GPS) - Silver (Alumínio), - Seminovo, Saúde da bateria: 77%",950,,1
"SKU: 176 - Apple Watch Series 5 (2019) 44mm (GPS) - Silver (Alumínio), - Seminovo, Saúde da bateria: 74%",800,,1
"SKU: 184 - Apple Watch Series 6 (2020) 44mm (GPS) - Blue (Alumínio), - Seminovo, Saúde da bateria: 72%",820,,1
"SKU: 522 - Apple Watch Series 6 (2020) 44mm (GPS) - Space Gray (Alumínio), - Seminovo, Saúde da bateria: 78%",850,,1
"SKU: 174 - Apple Watch Series 7 (2021) 45mm (GPS) - Midnight (Alumínio), - Seminovo, Saúde da bateria: 92%",1250,,1
"SKU: 185 - Apple Watch Series 7 (2021) 45mm (GPS) - Midnight (Alumínio), - Seminovo, Saúde da bateria: 95%",1050,,1
"SKU: 173 - Apple Watch Series 7 (2021) 45mm (GPS) - Starlight (Alumínio), - Seminovo, Saúde da bateria: 78%",1250,,1
"SKU: 179 - Apple Watch Series 8 (2022) 45mm (GPS) - Midnight (Alumínio), - Seminovo, Saúde da bateria: 85%",1800,,1
